timestamp,meter_id,energy_consumption,anomaly_score,anomaly_flag,anomaly_type,detection_method,anomaly_severity
2023-01-01 15:00:00,MTR-007,0.4535,-5.5976,1,low_consumption,robust_zscore,medium
2023-01-01 20:00:00,MTR-001,8.4039,21.0559,1,sudden_spike,robust_zscore,high
2023-01-02 09:00:00,MTR-006,11.0337,6.1764,1,abnormal_meter_behaviour,isolation_forest,high
2023-01-02 10:00:00,MTR-001,10.1323,29.2787,1,sudden_spike,robust_zscore,high
2023-01-02 12:00:00,MTR-012,28.3017,16.4194,1,sudden_spike,robust_zscore,high
2023-01-02 14:00:00,MTR-001,0.209,-6.3176,1,low_consumption,robust_zscore,high
2023-01-02 18:00:00,MTR-006,14.1727,6.0736,1,abnormal_meter_behaviour,isolation_forest,high
2023-01-02 18:00:00,MTR-009,15.8017,6.0777,1,abnormal_meter_behaviour,isolation_forest,high
2023-01-02 18:00:00,MTR-012,13.743,6.0941,1,abnormal_meter_behaviour,isolation_forest,high
2023-01-03 06:00:00,MTR-009,10.7857,6.1316,1,abnormal_meter_behaviour,isolation_forest,high
2023-01-03 07:00:00,MTR-009,12.7451,6.2715,1,abnormal_meter_behaviour,isolation_forest,high
2023-01-03 16:00:00,MTR-005,23.2832,14.705,1,sudden_spike,robust_zscore,high
2023-01-03 16:00:00,MTR-009,48.878,15.0846,1,sudden_spike,robust_zscore,high
2023-01-03 17:00:00,MTR-009,16.1569,6.1076,1,abnormal_meter_behaviour,isolation_forest,high
2023-01-03 18:00:00,MTR-009,16.2963,6.2493,1,abnormal_meter_behaviour,isolation_forest,high
2023-01-03 18:00:00,MTR-012,12.7634,6.0854,1,abnormal_meter_behaviour,isolation_forest,high
2023-01-03 19:00:00,MTR-009,15.0857,6.1602,1,abnormal_meter_behaviour,isolation_forest,high
2023-01-03 23:00:00,MTR-005,0.5142,-3.8733,1,low_consumption,robust_zscore,low
2023-01-04 02:00:00,MTR-001,0.7318,6.0691,1,abnormal_meter_behaviour,isolation_forest,high
2023-01-04 03:00:00,MTR-010,1.2718,3.2753,1,high_consumption,robust_zscore,low
2023-01-04 07:00:00,MTR-003,11.9387,6.2997,1,abnormal_meter_behaviour,isolation_forest,high
